ID;Annots;g1;g10;g11;g15;g17;g18;g19;g20;g23;g25;g26;g28;g29;g30;g33;g34;g38;g43;g45;g46;g47;g48;g49;g51;g53;g56;g57;g58;g59;g60;g61;g62;g63;g65;g68;g69;g70;g72;g73;g74;g77;g78;g80;g81;g82;g84;g85;g86;g89;g90;g92;g93;g97;g98;g99
151;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
152;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
155;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
156;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1
158;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
159;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
160;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
161;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
162;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
165;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
166;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1
167;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
168;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
169;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
171;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1
172;1;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
175;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1
177;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
178;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
181;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
182;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
183;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
185;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
186;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1
188;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
189;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
191;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
193;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
195;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0
196;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
197;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
198;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
200;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0
